Time	Treating Pressure	Flow Rate	Density	Volume	CMT Return Press	CMT Return Rate	CMT Return Dens	NRD Return Tot
mm:dd:yyyy:hh:mm:ss	bars	l/min	sgu	m3	bars	l/min	sgu	m3
____	______________	________	________	_______	________________	_______________	_______________	______________	
12:15:2023:13:24:29	1.0	24.5	1.10	0.001	-0.4	0.0	0.37	0.0
12:15:2023:13:24:30	1.0	31.2	1.10	0.000	-0.4	0.0	0.37	0.0
12:15:2023:13:24:31	1.0	33.1	1.10	0.001	-0.4	0.0	0.37	0.0
12:15:2023:13:24:32	1.0	27.0	1.10	0.001	-0.4	0.0	0.37	0.0
12:15:2023:13:24:33	1.0	0.0	1.10	0.000	-0.4	0.0	0.37	0.0
12:15:2023:13:24:34	1.0	0.0	1.10	0.000	-0.4	0.0	0.37	0.0
12:15:2023:13:24:35	1.0	50.1	1.10	0.000	-0.1	0.0	0.37	0.0
12:15:2023:13:24:36	1.0	50.1	1.10	0.001	-0.1	0.0	0.37	0.0
12:15:2023:13:24:37	1.0	73.8	1.10	0.001	-0.4	0.0	0.37	0.0
12:15:2023:13:24:38	1.0	107.2	1.10	0.002	-0.1	0.0	0.37	0.0
12:15:2023:13:24:39	1.0	92.7	1.10	0.002	-0.1	0.0	0.37	0.0
12:15:2023:13:24:40	1.0	100.6	1.10	0.002	-0.1	0.0	0.37	0.0
12:15:2023:13:24:41	1.0	83.8	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:24:42	2.0	83.8	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:43	2.0	88.9	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:44	2.0	80.4	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:45	2.0	86.0	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:46	2.0	92.1	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:47	2.0	97.6	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:24:48	2.0	92.4	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:24:49	2.0	92.4	1.10	0.002	0.6	0.0	0.37	0.0
12:15:2023:13:24:50	2.0	92.7	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:24:51	2.0	72.2	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:52	2.0	89.2	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:53	2.0	90.1	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:54	2.0	92.1	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:24:55	2.0	98.3	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:24:56	2.0	89.8	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:24:57	2.0	89.8	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:58	2.0	80.9	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:24:59	2.0	97.2	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:25:00	2.0	81.9	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:25:01	1.0	91.7	1.10	0.001	0.3	0.0	0.37	0.0
12:15:2023:13:25:02	2.0	153.2	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:03	2.0	160.8	1.10	0.003	0.3	0.0	0.37	0.0
12:15:2023:13:25:04	2.0	160.8	1.10	0.003	0.6	0.0	0.37	0.0
12:15:2023:13:25:05	2.0	129.0	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:06	2.0	127.1	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:07	2.0	130.2	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:08	2.0	115.3	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:09	2.0	132.2	1.10	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:10	2.0	127.1	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:11	2.0	130.3	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:12	2.0	130.3	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:13	2.0	129.0	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:14	2.0	130.3	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:15	2.0	135.0	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:16	2.0	123.5	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:17	2.0	117.9	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:18	2.0	125.8	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:19	2.0	125.8	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:20	2.0	132.2	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:22	2.0	122.9	1.09	0.004	0.3	0.0	0.37	0.0
12:15:2023:13:25:23	2.0	136.4	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:24	2.0	125.2	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:25	2.0	127.7	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:26	2.0	135.7	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:27	2.0	135.7	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:28	2.0	129.0	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:29	2.0	129.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:30	2.0	125.2	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:31	2.0	122.9	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:32	2.0	127.7	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:33	2.0	124.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:34	2.0	125.2	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:35	2.0	125.2	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:36	2.0	140.0	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:37	2.0	130.3	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:38	2.0	128.3	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:39	2.0	129.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:40	2.0	129.0	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:41	2.0	125.2	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:42	2.0	125.2	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:43	2.0	133.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:44	2.0	121.7	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:45	2.0	118.9	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:46	2.0	137.1	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:47	2.0	124.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:48	1.0	140.8	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:49	1.0	140.8	1.09	0.002	-0.1	0.0	0.37	0.0
12:15:2023:13:25:50	2.0	148.0	1.09	0.002	-0.1	0.0	0.37	0.0
12:15:2023:13:25:51	2.0	129.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:52	2.0	125.8	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:53	2.0	132.9	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:54	2.0	135.7	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:55	2.0	124.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:56	1.0	124.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:57	2.0	137.1	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:25:58	1.0	137.1	1.09	0.002	0.3	0.0	0.37	0.0
