Well:	Amstelland	Gauge:	9380	Date:	Saturday, 9 December 2023
Test:	XLOT_9dec	Position:gauge depth 1.383 m MD	Time:	21:24:09
Uncompressed export: All data points included.

No Points: 33792     
Time			Delta Time	Pressure	Temperature
			Hours		psi absolute	°C
09-12-2023 21:29:24	0,08750000	   113,899	    13,9
09-12-2023 21:29:27	0,08833333	   115,245	    13,9
09-12-2023 21:29:30	0,08916667	   116,202	    13,9
09-12-2023 21:29:33	0,09000000	   116,591	    13,9
09-12-2023 21:29:36	0,09083333	   117,228	    13,9
09-12-2023 21:29:39	0,09166667	   118,574	    14,0
09-12-2023 21:29:42	0,09250000	   119,531	    14,0
09-12-2023 21:29:45	0,09333333	   120,169	    14,0
09-12-2023 21:29:48	0,09416667	   119,920	    14,0
09-12-2023 21:29:51	0,09500000	   120,877	    14,0
09-12-2023 21:29:54	0,09583333	   121,266	    14,0
09-12-2023 21:29:57	0,09666667	   121,975	    14,0
09-12-2023 21:30:00	0,09750000	   122,613	    14,0
09-12-2023 21:30:03	0,09833333	   122,932	    14,0
09-12-2023 21:30:06	0,09916667	   123,569	    14,0
09-12-2023 21:30:09	0,10000000	   123,888	    14,0
09-12-2023 21:30:12	0,10083333	   123,959	    14,1
09-12-2023 21:30:15	0,10166667	   124,278	    14,1
09-12-2023 21:30:18	0,10250000	   124,597	    14,1
09-12-2023 21:30:21	0,10333333	   124,597	    14,1
09-12-2023 21:30:24	0,10416667	   124,667	    14,1
09-12-2023 21:30:27	0,10500000	   124,667	    14,1
09-12-2023 21:30:30	0,10583333	   124,667	    14,1
09-12-2023 21:30:33	0,10666667	   124,667	    14,1
09-12-2023 21:30:36	0,10750000	   124,667	    14,1
09-12-2023 21:30:39	0,10833333	   124,419	    14,1
09-12-2023 21:30:42	0,10916667	   124,030	    14,1
09-12-2023 21:30:45	0,11000000	   124,030	    14,1
09-12-2023 21:30:48	0,11083333	   124,100	    14,1
09-12-2023 21:30:51	0,11166667	   124,100	    14,1
09-12-2023 21:30:54	0,11250000	   123,781	    14,1
09-12-2023 21:30:57	0,11333333	   123,781	    14,1
09-12-2023 21:31:00	0,11416667	   123,852	    14,1
09-12-2023 21:31:03	0,11500000	   122,505	    14,1
09-12-2023 21:31:06	0,11583333	   122,824	    14,1
09-12-2023 21:31:09	0,11666667	   123,852	    14,1
09-12-2023 21:31:12	0,11750000	   125,057	    14,1
09-12-2023 21:31:15	0,11833333	   125,128	    14,1
09-12-2023 21:31:18	0,11916667	   125,447	    14,1
09-12-2023 21:31:21	0,12000000	   126,085	    14,1
09-12-2023 21:31:24	0,12083333	   126,723	    14,1
09-12-2023 21:31:27	0,12166667	   127,042	    14,1
09-12-2023 21:31:30	0,12250000	   127,680	    14,1
09-12-2023 21:31:33	0,12333333	   128,388	    14,1
09-12-2023 21:31:36	0,12416667	   129,345	    14,1
09-12-2023 21:31:39	0,12500000	   129,983	    14,1
09-12-2023 21:31:42	0,12583333	   131,011	    14,2
09-12-2023 21:31:45	0,12666667	   131,330	    14,2
09-12-2023 21:31:48	0,12750000	   132,039	    14,2
09-12-2023 21:31:51	0,12833333	   133,315	    14,2
09-12-2023 21:31:54	0,12916667	   134,273	    14,2
09-12-2023 21:31:57	0,13000000	   134,592	    14,2
09-12-2023 21:32:00	0,13083333	   134,663	    14,2
09-12-2023 21:32:03	0,13166667	   135,939	    14,2
09-12-2023 21:32:06	0,13250000	   136,577	    14,2
09-12-2023 21:32:09	0,13333333	   137,286	    14,2
09-12-2023 21:32:12	0,13416667	   138,563	    14,2
09-12-2023 21:32:15	0,13500000	   138,882	    14,2
09-12-2023 21:32:18	0,13583333	   139,910	    14,3
09-12-2023 21:32:21	0,13666667	   140,867	    14,3
09-12-2023 21:32:24	0,13750000	   141,577	    14,3
09-12-2023 21:32:27	0,13833333	   142,534	    14,3
09-12-2023 21:32:30	0,13916667	   142,924	    14,3
09-12-2023 21:32:33	0,14000000	   143,882	    14,3
09-12-2023 21:32:36	0,14083333	   144,591	    14,3
09-12-2023 21:32:39	0,14166667	   146,187	    14,3
09-12-2023 21:32:42	0,14250000	   146,506	    14,3
09-12-2023 21:32:45	0,14333333	   147,535	    14,3
09-12-2023 21:32:48	0,14416667	   147,926	    14,4
09-12-2023 21:32:51	0,14500000	   149,203	    14,4
09-12-2023 21:32:54	0,14583333	   149,522	    14,4
09-12-2023 21:32:57	0,14666667	   147,359	    14,4
09-12-2023 21:33:00	0,14750000	   149,665	    14,4
09-12-2023 21:33:03	0,14833333	   151,899	    14,4
09-12-2023 21:33:06	0,14916667	   152,538	    14,4
09-12-2023 21:33:09	0,15000000	   152,929	    14,4
09-12-2023 21:33:12	0,15083333	   153,248	    14,4
09-12-2023 21:33:15	0,15166667	   153,639	    14,4
09-12-2023 21:33:18	0,15250000	   154,277	    14,4
09-12-2023 21:33:21	0,15333333	   154,668	    14,5
09-12-2023 21:33:24	0,15416667	   154,987	    14,5
09-12-2023 21:33:27	0,15500000	   155,059	    14,5
09-12-2023 21:33:30	0,15583333	   155,059	    14,5
09-12-2023 21:33:33	0,15666667	   155,378	    14,5
09-12-2023 21:33:36	0,15750000	   155,450	    14,5
09-12-2023 21:33:39	0,15833333	   155,770	    14,5
09-12-2023 21:33:42	0,15916667	   155,770	    14,5
09-12-2023 21:33:45	0,16000000	   155,522	    14,5
09-12-2023 21:33:48	0,16083333	   155,522	    14,5
09-12-2023 21:33:51	0,16166667	   155,203	    14,5
09-12-2023 21:33:54	0,16250000	   155,275	    14,6
09-12-2023 21:33:57	0,16333333	   155,203	    14,5
09-12-2023 21:34:00	0,16416667	   154,955	    14,6
09-12-2023 21:34:03	0,16500000	   154,955	    14,6
09-12-2023 21:34:06	0,16583333	   154,708	    14,6
09-12-2023 21:34:09	0,16666667	   154,708	    14,6
09-12-2023 21:34:12	0,16750000	   154,708	    14,6
09-12-2023 21:34:15	0,16833333	   154,708	    14,6
09-12-2023 21:34:18	0,16916667	   154,780	    14,6
09-12-2023 21:34:21	0,17000000	   154,780	    14,6
09-12-2023 21:34:24	0,17083333	   152,616	    14,6
09-12-2023 21:34:27	0,17166667	   155,490	    14,6
09-12-2023 21:34:30	0,17250000	   156,057	    14,6
09-12-2023 21:34:33	0,17333333	   156,768	    14,6
09-12-2023 21:34:36	0,17416667	   157,087	    14,6
09-12-2023 21:34:39	0,17500000	   157,406	    14,6
09-12-2023 21:34:42	0,17583333	   157,797	    14,6
09-12-2023 21:34:45	0,17666667	   158,117	    14,6
